ID_Station;ID_Autolib;Nom_Station;Nom_Voie;CP
FR*V75*EBELI*16;NULL;RUE CAULAINCOURT;103 RUE CAULAINCOURT;75018
FR*V75*EBELI*22;NULL;RUE LECOURBE;170 RUE LECOURBE;75015
FR*V75*EBELI*35;NULL;AVENUE DE SAXE;10 AVENUE DE SAXE;75007
FR*V75*EBELI*39;NULL;AVENUE DE VILLARS;9 AVENUE DE VILLARS;75007
FR*V75*EBELI*47;NULL;BOULEVARD MASSENA;107 BOULEVARD MASSENA;75013
FR*V75*EBELI*49;NULL;RUE DIDOT;47 RUE DIDOT;75014
FR*V75*EBELI*60;NULL;AVENUE GAMBETTA;227 AVENUE GAMBETTA;75020
FR*V75*EBELI*62;NULL;72 RUE DE ROME;72 RUE DE ROME;75008
FR*V75*EBELI*64;NULL;52 RUE ETIENNE MARCEL;52 RUE ETIENNE MARCEL;75002
FR*V75*EBELI*7;NULL;BOULEVARD VOLTAIRE;206 BOULEVARD VOLTAIRE;75011
FR*V75*EBELI*74;NULL;RUE DE VOUILLE;25 RUE DE VOUILLE;75015
FR*V75*EBELI*8;NULL;AVENUE DE FLANDRE;10 AVENUE DE FLANDRE;75019
FR*W75*PVP*0001;75101-05;Paris/Pyramides/12;12 RUE DES PYRAMIDES;75001
FR*W75*PVP*0004;75102-04;Paris/Quatre septembre/10;10 RUE DU QUATRE SEPTEMBRE;75002
FR*W75*PVP*0006;75102-10;Paris/Étienne Marcel/36;36 RUE ETIENNE MARCEL;75002
FR*W75*PVP*0009;75102-13;Paris/Dalayrac/19;19 RUE DALAYRAC;75002
FR*W75*PVP*0011;75103-01;Paris/Turenne/46;46 RUE DE TURENNE;75003
FR*W75*PVP*0014;75103-15;Paris/Beaumarchais/87;87 BOULEVARD BEAUMARCHAIS;75003
FR*W75*PVP*0029;75105-22;Paris/Henri Barbusse/25;25 RUE HENRI BARBUSSE;75005
FR*W75*PVP*0036;75106-15;Paris/Four/38;38 RUE DU FOUR;75006
FR*W75*PVP*0040;75107-07;Paris/Grenelle/152;152 RUE DE GRENELLE;75007
FR*W75*PVP*0050;75108-06;Paris/Matignon/2;2 AVENUE MATIGNON;75008
FR*W75*PVP*0052;75108-12;Paris/Malesherbes/7;7 BOULEVARD MALESHERBES;75008
FR*W75*PVP*0057;75108-32;Paris/Tronchet/19;19 RUE TRONCHET;75008
FR*W75*PVP*0058;75108-33;Paris/François 1er/38;38 RUE FRANCOIS 1ER;75008
FR*W75*PVP*0062;75109-09;Paris/Chaussée d'Antin/5;5 RUE DE LA CHAUSSEE D ANTIN;75009
FR*W75*PVP*0067;75109-22;Paris/Haussmann/6;6 BOULEVARD HAUSSMANN;75009
FR*W75*PVP*0069;75110-05;Paris/La Fayette/143;143 RUE LA FAYETTE;75010
FR*W75*PVP*0080;75111-01;Paris/Richard Lenoir/8;8 BOULEVARD RICHARD LENOIR;75011
FR*W75*PVP*0081;75111-02;Paris/Parmentier/2;2 AVENUE PARMENTIER;75011
FR*W75*PVP*0092;75112-11;Paris/Charenton/97;97 RUE DE CHARENTON;75012
FR*W75*PVP*0094;75112-18;Paris/Pirogues de Bercy/44;44 RUE DES PIROGUES DE BERCY;75012
FR*W75*PVP*0097;75112-26;Paris/Picpus/7;7 BOULEVARD DE PICPUS;75012
FR*W75*PVP*0101;75112-37;Paris/Bercy/5;5 BOULEVARD DE BERCY;75012
FR*W75*PVP*0106;75113-10;Paris/Vulpian/24;24 RUE VULPIAN;75013
FR*W75*PVP*0109;75113-19;Paris/Choisy/8;8 AVENUE DE CHOISY;75013
FR*W75*PVP*0113;75113-30;Paris/Fernand Braudel/21;21 RUE FERNAND BRAUDEL;75013
FR*W75*PVP*0116;75113-38;Paris/Darmesteter/12;12 RUE DARMESTETER;75013
FR*W75*PVP*0120;75114-05;Paris/Henri Barbusse/66;66 RUE HENRI BARBUSSE;75014
FR*W75*PVP*0124;75114-11;Paris/Départ/23;23 RUE DU DEPART;75014
